old,new
bgtu,begitu
suket,surat keterangan
trima,terima
trm,terima
polisi tidur,speedtrap
pd,pada
kmarin,kemarin
kmrn,kemarin
gg,gang
lht,lihat
puskesamaas,puskesmas
stelah,setelah
manganga,mangga
ersayaaratan,persyaratan
sdengankan,sedangkan
airlanganga,airlangga
psyarat,persyaratan
ditunungangu,ditunggu
menunungangu,menunggu
sekal,sekali
risamaa,risma
terimaksih,terimakasih
pendafarannya,pendaftarannya
sehinganga,sehingga
bapakkb,bapak
masayarkat,masyarakat
ktpel,ktp
carany,caranya
prsetujuan,persetujuan
selanjutny,selanjutnya
infonyaaaaaaa,infonya
cpt,cepat
apalag,apalagi
tlagi,lagi
tinngi,tinggi
adlh,adalah
kksaya,kk
shilang,hilang
selsai,selsai
trdaftar,terdaftar
trnyata,ternyata
teralalu,terlalu
meingangalkan,meninggalkan
keajadiyan,kejadian
metanyakan,menanyakan
kasihadministrasi,administrasi
menungangunakan,menggunakan
lobang,lubang
berlobang,berlubang
harga,biaya
tangangapan,tanggapan
ppersyaratan,persyaratan
sayaarat,syarat
pagisurat,surat
upadaate,update
caranyaa,caranya
ktpunyaa,ktpnya
sayakenapa,saya kenapa
sayaarat,syarat
meningangal,meninggal
tegalsaridijanjikan,tegalsari dijanjikan
surabayaterus,surabaya terus
form,formulir
masayaarakat,masyarakat
working,kerja
bubutandan,bubutan dan
suwon,terimakasih
bener,benar
bagaimanaa,bagaimana
sblmny,sebelumnya
yaainfo,ya info
disdispenduk,dispenduk
sayaaratnya,syaratnya
ngurusin,ngurus
pamanya,paman
sarat,syarat
dbuatkan,dibuatkan
atidak,tidak
dengann,dengan
pebgurusan,pengurusan
srt,surat
brpa,berapa
tks,terimakasih
diknas,dinas
caranyaamohon,caranya
amana,amanah
wargaorang,warga orang
office,kantor
minini,minim
adad,ada
ditangangapi,ditanggapi
nungangu,nunggu
dtang,datang
ektpnya,ektp
padahl,padahal
lejas,jelas
sekaliian,sekalian
informulirasinya,informasi
informulirasi,informasi
untk,untuk
ssamapai,sampai
praktak,praktik
formulirulir,formulir
kecamatankk,kecamatan
dikecamatan,kecamatan
penungguna,pengguna
sampa,sampah
indormasinya,informasinya
hri,hari
padan,padam
kk,kartukeluarga
gorong,selokan
goronggorong,selokan
ektpsaat,ektp
ewadulada,ewadul
mndapatkan,mendapatkan
siangmaaf,siang maaf
kmbali,kembali
pasl,pasti
telp,telpon
bsa,bisa
dminta,diminta
document,dokumen
laik,lain
kartukuningnya,kartukuning
terkahir,terakhir
notifkasi,notifikasi
dirw,rw
sampa,sampah
dimanaa,dimana
bantuannya,bantuan
megurus,mengurus
sampahil,sampah
tagangal,tanggal
tlpn,telepon
mksih,makasih
tny,tanya
almh,almarhum
nyakin,yakin
pangangilan,panggilan
thilang,tilang
reapon,respon
tertangangal,tertanggal
sampahhi,sampah
prosedurpersyaratan,prosedur persyaratan
ktpnya,ktp
kecamatanpetugas,kecamatan petugas
sampahhh,sampah
selanjutanyaa,selanjutnya
melegalisir,legalisir
makasie,makasih
berlakuya,berlakunya
begimana,bagaimana
debirokratisasi,birokrasi
public,publik
service,pelayanan
pelangangan,pelanggaran
syaratanyaa,syarat
assalamualainum,assalamualaikum
dicetakapakah,dicetak apakah
dtg,datang
habistd,habis
skr,sekarang
aparteman,apartemen
slmat,selamat
salinantarima,salin
tutidakan,tiadakan
direspon,respon
cepatanyaa,cepat
disepanjang,sepanjang
kenyamanahn,kenyamanan
apartment,apartemen
matimulai,mati
seoanjang,sepanjang
padamg,padam
expired,mati
expire,mati
brapa,berapa
kartukeluargas,kartukeluarga
pembuatanya,buat
pengambilanya,ambil
skali,sekali
sekarangk,sekarang
perosedurnya,prosedur
tetapai,tetapi
pernyaataan,pernyataan
ank,anak
tlng,tolong
bbagaimana,bagaimana
selanjutnyaa,selanjutnya
dftrkan,daftarkan
dokterbidan,dokter bidan
disurabaya,surabaya
pertanyannya,pertanyaannya
shg,sehingga
lagis,lagi
ngangih,nagih
sunungguh,sungguh
selsai,selesai
selesa,selesai
sampahsampah,sampah
sampahl,sampah
sampa,sampah
sekarangg,sekarang
diiklanakan,iklan
pavingisasi,paving
sesunguhnya,sesungguhnya
msampaht,sampah
plihan,pilihan
slh,salah
stu,satu
light,lampu
pavingnya,paving
padam,mati
padaam,mati
selokananselokan,selokan
tangap,tanggap
selokananselokanselokanuntuk,selokan
agr,agar
jngn,jangan
spy,supaya
bleh,boleh
samaa,sama
memasukartukeluargaan,kartukeluarga
lengkapinsampahh,sampah
sampahh,sampah
sampa,sampah
ngurusnya,urus
bantuanya,bantuan
ditandatangani,tanda tangan
samap,sama
sdengan,dengan
sulitanyaa,sulit
disetujui,setuju
kelurahannya,kelurahan
sekal,sekali
temanaku,temanku
keluarahan,kelurahan
sekaliigus,sekaligus
nomernya,nomer
kekelurahan,kelurahan
kartukeluargaini,kartukeluarga
siolacapek,siola
baharu,baru
kartukuninga,kartukuning
prngamblan,pengambilan
tingangalnya,tanggalnya
teimakasih,terimakasih
melelui,melalui
samaua,sama
persayaratannya,syarat
kelurahaan,kelurahan
dikecamtan,kecamatan
kmrin,kemarin
kntor,kantor
hrus,harus
kecamtan,kecamatan
dikecamtan,kecamatan
penpanjangnya,perpanjangan
komputereh,komputer
selesa,selesai
samak,sama
harapanan,harapan
ragajika,raga
ragasebenarnya,raga
ragawan,raga
pnerangan,penerangan
tmpat,tempat
sblm,sebelum
teribuka,terbuka
tirtoasr,tirtoasri
trlalu,terlalu
membahaykan,membahayakan
terrealisasi,terealisasi
gelapcoba,gelap
nnti,nanti
sngat,sangat
mengfasilitasi,memfasilitasi
mnghindari,menghindari
ditraffic,traffic
jpu,pju
terimaadministrasi,terima administrasi
yaadministrasi,ya administrasi
surabayaadministrasi,surabaya administrasi
